,path_no,path_treat,pvalue,lsmean,SE,df,lower.CL,upper.CL,direction,plantsp,biomass
58,58,path_treat582,0.634202554,0.005666922,0.002415033,85.97989929,0.000973412,0.0105786,+,SL,above
59,59,path_treat592,0.066507915,0.009551313,0.00248123,85.99983301,0.004728185,0.014596564,+,SL,above
60,64,path_treat642,0.421135902,0.00131734,0.003393171,85.97450056,-0.005208445,0.008292383,-,SL,above
61,68,path_treat68,0.767078652,0.0026166,0.005692391,85.98355737,-0.008097899,0.01458026,-,SL,above
62,70,path_treat70,0.957764592,0.004158461,0.003289368,85.9648753,-0.00217959,0.010907172,+,SL,above
63,72,path_treat72,0.489864575,0.002176116,0.002827562,85.99763741,-0.003293076,0.007954614,-,SL,above
64,74,path_treat742,0.593214311,0.002645395,0.002971354,85.9260855,-0.003094785,0.008725594,-,SL,above
65,76,path_treat762,0.872318854,0.004823307,0.002789515,85.52755776,-0.000578352,0.010518442,+,SL,above
66,83,path_treat832,0.189556944,0.007832414,0.002277948,85.95073485,0.003397736,0.012457293,+,SL,above
67,85,path_treat852,0.011722644,0.014216411,0.003725303,85.91158453,0.007045633,0.021867545,+,SL,above
68,87,path_treat872,0.066971062,0.01019724,0.002866149,85.9467693,0.00464427,0.01604488,+,SL,above
69,92,path_treat922,0.444646047,0.006450257,0.002488596,76.52707903,0.001607935,0.011523349,+,SL,above
71,1,path_treat1,0.727975033,0.010345795,0.00433482,115.599107,0.002085362,0.019274636,+,BS,above
72,10,path_treat10,0.92923167,0.011545466,0.003878155,140.9822444,0.00413616,0.019481945,+,BS,above
73,12,path_treat12,0.663781874,0.009925155,0.004302271,140.989734,0.001740572,0.018768151,+,BS,above
74,14,path_treat14,0.065432288,0.003808149,0.004081267,114.9240804,-0.003969338,0.012215531,-,BS,above
75,16,path_treat16,0.439246438,0.015241296,0.00404667,140.995868,0.007512668,0.023525503,+,BS,above
76,17,path_treat172,0.012902384,0.02004828,0.002910999,140.8894396,0.014429155,0.025943335,+,BS,above
77,18,path_treat183,0.47703415,0.014254222,0.002929195,140.9322369,0.008607684,0.020194325,+,BS,above
78,19,path_treat193,0.733574175,0.013077708,0.00308205,132.9344988,0.007142919,0.019341233,+,BS,above
79,2,path_treat2,0.189281197,0.006095506,0.004172043,114.7748675,-0.001855013,0.01469008,+,BS,above
80,20,path_treat20,0.499711816,0.015045721,0.004541562,118.7472155,0.006395279,0.024399486,+,BS,above
81,21,path_treat21,0.973764148,0.012087359,0.005212023,108.96942,0.00221899,0.022908434,+,BS,above
82,22,path_treat22,0.943100545,0.011588271,0.00438845,117.6881877,0.003227502,0.020626208,+,BS,above
83,23,path_treat233,0.589694772,0.01010131,0.003012144,140.8798702,0.004304635,0.016220133,+,BS,above
84,25,path_treat25,0.855869354,0.010348066,0.008719228,140.8284896,-0.005610544,0.029004831,+,BS,above
85,26,path_treat26,0.902127842,0.012480177,0.004465293,81.6538706,0.003938466,0.02172385,+,BS,above
86,29,path_treat293,0.352106013,0.004105749,0.008005858,140.8178199,-0.010577075,0.021199424,-,BS,above
87,35,path_treat352,0.530422552,0.008706164,0.004818142,140.8362723,-0.000413678,0.018661176,+,BS,above
88,45,path_treat453,0.468516227,0.005766003,0.00808074,140.8261698,-0.009061277,0.023010827,-,BS,above
89,57,path_treat573,0.565168378,0.014155928,0.003677206,140.9939195,0.007112974,0.021661975,+,BS,above
90,58,path_treat583,0.258222421,0.016042508,0.003394944,140.9438048,0.009521315,0.02295199,+,BS,above
91,59,path_treat593,0.799820036,0.012963781,0.003886638,140.931072,0.005535621,0.020914773,+,BS,above
92,64,path_treat643,0.996416806,0.011897579,0.003546229,140.8952019,0.005101986,0.019132555,+,BS,above
93,7,path_treat7,0.347419925,0.008081161,0.003774564,121.8432457,0.000861385,0.015817737,+,BS,above
94,73,path_treat732,0.984131151,0.012040716,0.006109055,140.8194636,0.000591558,0.024792998,+,BS,above
95,74,path_treat743,0.710231531,0.008734621,0.008444146,140.7945286,-0.006740758,0.026777974,+,BS,above
96,76,path_treat763,0.208246941,0.017793743,0.004541947,140.8087392,0.009148222,0.027124067,+,BS,above
97,8,path_treat8,0.265713389,0.00739805,0.00378388,128.5572886,0.000166298,0.015151915,+,BS,above
98,83,path_treat833,0.859910307,0.013020721,0.00614469,140.8325901,0.001503027,0.025845343,+,BS,above
99,85,path_treat853,0.704139175,0.013900374,0.005110589,140.6259331,0.004232011,0.024465556,+,BS,above
100,87,path_treat873,0.288342121,0.007618629,0.003704017,140.8487592,0.000539543,0.01519616,+,BS,above
101,9,path_treat9,0.739457589,0.010553147,0.00382696,140.8147847,0.003240497,0.01838376,+,BS,above
102,92,path_treat923,0.832331093,0.012730993,0.00355071,140.7954769,0.005925479,0.019973749,+,BS,above
104,17,path_treat173,0.739082266,0.009764089,0.003766549,148.9102116,0.00256803,0.017465015,+,IW,above
105,18,path_treat184,0.967308425,0.011309881,0.004108101,148.9431201,0.003481133,0.019730904,+,IW,above
106,19,path_treat194,0.002715302,0.025283222,0.004626825,148.9728251,0.016466171,0.034767766,+,IW,above
107,23,path_treat234,0.890854729,0.010563778,0.003826485,148.9077954,0.003255308,0.018389546,+,IW,above
108,29,path_treat294,0.965539051,0.011442818,0.007117917,148.9999733,-0.0017709,0.026434037,+,IW,above
109,35,path_treat353,0.714466918,0.007503974,0.009598359,148.3123496,-0.009884224,0.028247295,-,IW,above
110,45,path_treat454,0.28165513,0.016929979,0.005279045,148.9834821,0.006950276,0.027840904,+,IW,above
111,47,path_treat47,0.999649929,0.011128637,0.004555241,147.8307475,0.002481777,0.020505072,+,IW,above
112,48,path_treat48,0.452058021,0.00751212,0.004480965,141.8929603,-0.000990862,0.016745345,+,IW,above
113,49,path_treat49,0.918230105,0.010516385,0.005793349,148.839498,-0.000358491,0.022578144,+,IW,above
114,51,path_treat51,0.719977411,0.009249741,0.005009691,129.7783613,-0.000225206,0.019624461,+,IW,above
115,53,path_treat53,0.514421434,0.008085562,0.004341144,148.8806181,-0.000161076,0.017013368,+,IW,above
116,55,path_treat55,0.827931505,0.012214608,0.004837099,122.3416534,0.003036506,0.022210262,+,IW,above
117,56,path_treat56,0.980354853,0.011263763,0.005292698,102.7001103,0.001246547,0.022272071,+,IW,above
118,57,path_treat574,0.326479887,0.014680328,0.003295587,148.9997171,0.00834965,0.021380897,+,IW,above
119,58,path_treat584,0.896424459,0.011592489,0.003187457,148.9997318,0.005468482,0.018072086,+,IW,above
120,59,path_treat594,0.146363949,0.016157046,0.003141718,143.5578759,0.010110123,0.022536049,+,IW,above
121,64,path_treat644,0.635524067,0.013091247,0.003866378,148.9422303,0.005703561,0.020995262,+,IW,above
122,73,path_treat733,0.586910096,0.014031801,0.005218521,126.7683186,0.004158898,0.024840526,+,IW,above
123,74,path_treat744,0.965689352,0.0108744,0.005785507,148.9936393,1.18014739687172e-05,0.02291682,+,IW,above
124,76,path_treat764,0.833343626,0.01003234,0.004967928,148.9329464,0.000640783,0.020300294,+,IW,above
125,83,path_treat834,0.720248693,0.012610718,0.003858277,148.9015724,0.005239028,0.020498775,+,IW,above
126,85,path_treat854,0.875363533,0.010389762,0.004470328,148.9687266,0.001900506,0.019586251,+,IW,above
127,87,path_treat874,0.832779102,0.010266455,0.003828717,145.1388087,0.002953029,0.0180994,+,IW,above
128,92,path_treat924,0.79581489,0.009992648,0.004084636,148.9107584,0.002210342,0.018367499,+,IW,above
